customer_id,total_spent,n_orders,n_items,avg_order_value,first_purchase,last_purchase,days_active,segment
12346,77183.6,1,74215,77183.6,2020-01-18T11:10:01Z,2020-01-18T11:10:01Z,0,VIP
12347,4310,7,2458,23.681318681318682,2004-07-20T11:10:43Z,2020-10-31T11:12:25Z,5947.001180555556,VIP
12348,1797.24,4,2341,57.97548387096774,2004-05-20T11:10:47Z,2020-12-16T10:19:09Z,6053.9641435185185,High Value
12349,1757.55,1,631,24.076027397260273,2020-11-21T11:09:51Z,2020-11-21T11:09:51Z,0,High Value
12350,334.4,1,197,19.67058823529412,2002-02-20T11:16:01Z,2002-02-20T11:16:01Z,0,Low Value
12352,2506.04,8,536,29.482823529411764,2003-01-20T11:14:57Z,2020-09-28T11:14:58Z,6461.000011574074,High Value
12353,89,1,20,22.25,2020-05-19T11:17:47Z,2020-05-19T11:17:47Z,0,Low Value
12354,1079.4,1,530,18.610344827586207,2020-04-21T11:13:11Z,2020-04-21T11:13:11Z,0,Regular
12355,459.4,1,240,35.33846153846154,2005-09-20T11:13:49Z,2005-09-20T11:13:49Z,0,Regular
12356,2811.43,3,1591,47.65135593220339,2004-08-20T11:12:33Z,2020-11-17T11:08:40Z,5932.997303240741,High Value
12357,6207.67,1,2708,47.38679389312977,2011-06-20T11:16:07Z,2011-06-20T11:16:07Z,0,VIP
12358,1168.0600000000002,2,248,61.47684210526316,2007-12-20T11:10:04Z,2012-08-20T11:10:26Z,1705.0002546296296,Regular
12359,6310.03,4,1609,25.755224489795918,2001-12-20T11:12:43Z,2020-10-13T11:12:47Z,6872.000046296296,VIP
12360,2662.06,3,1165,20.636124031007753,2020-05-23T11:09:43Z,2020-10-18T11:15:22Z,148.0039236111111,High Value
12361,189.9,1,91,18.99,2020-02-25T11:13:51Z,2020-02-25T11:13:51Z,0,Low Value
12362,5226.23,10,2229,19.64748120300752,2007-07-20T11:12:32Z,2020-10-28T11:10:10Z,4848.998356481481,VIP
12363,552,2,408,24,2004-11-20T11:13:29Z,2020-08-22T11:10:18Z,5753.997789351852,Regular
12364,1313.1,4,1506,15.448235294117646,2012-02-20T11:10:22Z,2020-10-30T11:15:43Z,3175.0037152777777,Regular
12365,641.38,2,174,29.153636363636362,2020-02-21T11:13:51Z,2020-02-21T11:14:04Z,1.5046296296296297e-4,Regular
12367,168.9,1,173,15.354545454545454,2012-05-20T11:16:48Z,2012-05-20T11:16:48Z,0,Low Value
12370,3541.94,4,2352,21.336987951807227,2003-10-20T11:12:48Z,2020-12-17T10:09:38Z,6267.95613425926,High Value
12371,1887.96,2,591,29.96761904761905,2010-11-20T11:10:43Z,2020-10-26T11:10:16Z,3627.9996875,High Value
12372,1298.04,3,794,24.962307692307693,2005-11-20T11:10:43Z,2020-09-29T11:12:12Z,5427.001030092592,Regular
12373,364.6,1,197,26.042857142857144,2002-01-20T11:13:10Z,2002-01-20T11:13:10Z,0,Regular
12374,742.9300000000001,1,342,22.513030303030302,2020-11-14T11:15:37Z,2020-11-14T11:15:37Z,0,Regular
12375,457.5,2,178,26.911764705882355,2009-02-20T11:14:23Z,2020-11-29T11:10:36Z,4299.997372685185,Regular
12377,1628.12,2,944,21.144415584415583,2020-01-28T11:15:45Z,2020-12-20T10:09:37Z,326.9540740740741,High Value
12378,4008.62,1,2529,18.30420091324201,2008-02-20T11:10:34Z,2008-02-20T11:10:34Z,0,VIP
12379,852.24,2,407,21.306,2020-06-22T11:16:32Z,2020-09-19T11:10:09Z,88.99556712962963,Regular
12380,2724.81,4,1127,26.200096153846154,2006-07-20T11:09:49Z,2020-11-18T11:11:27Z,5235.001134259259,High Value
12381,1845.31,5,808,21.210459770114944,2008-12-20T11:09:57Z,2012-05-20T11:12:44Z,1247.0019328703704,High Value
12383,1850.56,5,1532,18.692525252525254,2001-12-20T11:14:10Z,2020-12-22T10:14:28Z,6941.958541666667,High Value
12384,585.27,2,126,21.676666666666666,2008-10-20T11:11:23Z,2011-11-20T11:08:39Z,1125.9981018518517,Regular
12386,401.9,2,354,40.19,2001-06-20T11:12:37Z,2012-08-20T10:09:53Z,4078.956435185185,Regular
12388,2780.6600000000003,6,1462,27.8066,2002-07-20T11:13:59Z,2020-11-24T11:12:30Z,6701.998969907408,High Value
12390,549.84,1,353,17.1825,2020-09-21T11:09:33Z,2020-09-21T11:09:33Z,0,Regular
12391,439.66,1,293,4.72752688172043,2020-11-18T11:12:07Z,2020-11-18T11:12:07Z,0,Regular
12393,1582.6000000000001,4,816,24.728125000000002,2001-11-20T11:09:47Z,2020-09-28T11:15:41Z,6887.004097222222,High Value
12394,1272.48,2,819,47.12888888888889,2005-06-20T11:14:01Z,2010-07-20T11:08:08Z,1855.9959143518518,Regular
12395,3018.63,12,2118,19.350192307692307,2002-11-20T11:12:16Z,2020-12-17T10:16:00Z,6601.960925925926,High Value
12397,2409.9,2,1263,19.126190476190477,2011-04-20T11:09:52Z,2020-07-27T11:14:21Z,3386.003113425926,High Value
12398,1635.66,1,1394,19.243058823529413,2020-10-25T11:10:27Z,2020-10-25T11:10:27Z,0,High Value
12399,1108.65,4,1178,18.790677966101693,2005-10-20T11:10:22Z,2020-03-23T11:09:42Z,5267.999537037037,Regular
12401,84.3,1,11,16.86,2002-09-20T11:13:50Z,2002-09-20T11:13:50Z,0,Low Value
12402,225.6,1,94,20.509090909090908,2020-01-20T11:13:49Z,2020-01-20T11:13:49Z,0,Low Value
12403,427.7,1,96,85.54,2020-10-21T11:10:51Z,2020-10-21T11:10:51Z,0,Regular
12405,1710.39,1,857,31.67388888888889,2020-07-14T11:08:52Z,2020-07-14T11:08:52Z,0,High Value
12406,3415.3,2,1818,32.52666666666667,2006-09-20T11:10:23Z,2020-11-17T11:19:22Z,5172.006238425926,High Value
12407,1708.12,5,1416,22.183376623376624,2007-06-20T11:09:49Z,2020-10-21T11:10:11Z,4872.00025462963,High Value
12408,2888.55,5,1409,27.509999999999998,2009-02-20T11:10:27Z,2020-06-17T11:10:51Z,4135.000277777778,High Value
12409,11072.67,3,5551,101.58412844036697,2006-10-20T11:12:19Z,2020-09-22T11:10:38Z,5085.998831018518,VIP
12410,693.33,2,211,26.66653846153846,2002-04-20T11:10:38Z,2002-04-20T11:10:39Z,1.1574074074074073e-05,Regular
12412,1226.88,3,829,20.112786885245903,2020-06-23T11:13:51Z,2020-09-26T11:10:16Z,94.99751157407407,Regular
12413,758.1,3,286,19.95,2001-06-20T11:16:12Z,2020-04-17T11:15:33Z,6875.999548611111,Regular
12414,562.41,3,300,31.245,2002-02-20T11:14:51Z,2020-04-26T11:09:12Z,6639.9960763888885,Regular
12415,124914.53,21,77374,174.95032212885155,2001-06-20T11:11:12Z,2020-11-15T11:14:22Z,7088.002199074074,VIP
12417,3649.1,9,1552,19.005729166666665,2003-03-20T11:14:12Z,2020-12-17T10:11:51Z,6481.956701388889,VIP
12418,668.58,1,407,19.664117647058823,2020-08-19T11:11:08Z,2020-08-19T11:11:08Z,0,Regular
12420,600.39,1,345,20.70310344827586,2010-07-20T11:08:55Z,2010-07-20T11:08:55Z,0,Regular
12421,807.04,4,484,17.93422222222222,2020-01-24T11:15:09Z,2020-11-24T11:09:07Z,304.9958101851852,Regular
12422,803.5600000000001,3,370,20.604102564102565,2009-05-20T11:09:48Z,2020-06-24T11:13:20Z,4053.002453703704,Regular
12423,1859.31,8,1339,14.87448,2004-07-20T11:12:04Z,2020-12-21T10:10:54Z,5997.9575231481485,High Value
12424,1760.96,2,740,58.69866666666667,2020-06-30T11:12:06Z,2020-06-30T11:12:06Z,0,High Value
12425,777.2,1,496,21.58888888888889,2020-09-22T11:17:31Z,2020-09-22T11:17:31Z,0,Regular
12426,582.73,1,258,19.424333333333333,2020-05-29T11:12:26Z,2020-05-29T11:12:26Z,0,Regular
12427,825.8,3,533,26.638709677419353,2010-10-20T11:15:15Z,2020-11-18T11:08:56Z,3681.995613425926,Regular
12428,7956.46,9,3536,27.062789115646257,2003-01-20T11:09:33Z,2020-11-14T11:08:22Z,6507.999178240741,VIP
12429,3750.4,4,1557,38.66391752577319,2012-09-20T10:12:05Z,2020-11-30T11:17:22Z,2993.045335648148,VIP
12430,256.4,1,117,23.30909090909091,2020-10-27T11:15:09Z,2020-10-27T11:15:09Z,0,Low Value
12431,6419.95,15,2896,27.435683760683762,2005-12-20T11:12:34Z,2020-12-17T10:14:10Z,5475.959444444445,VIP
12432,5059.32,5,1801,46.845555555555556,2020-06-20T11:13:27Z,2020-10-28T11:11:43Z,129.9987962962963,VIP
12433,13375.87,7,11071,31.847309523809525,2009-09-20T11:13:44Z,2020-11-30T11:14:05Z,4089.0002430555555,VIP
12434,806.14,2,394,16.1228,2020-03-24T11:13:05Z,2020-09-16T11:12:38Z,175.9996875,Regular
12435,7829.89,2,2055,217.49694444444447,2020-03-17T11:07:40Z,2020-09-21T11:09:06Z,188.00099537037036,VIP
12436,509.01000000000005,1,211,31.813125000000003,2009-01-20T11:12:09Z,2009-01-20T11:12:09Z,0,Regular
12437,4951.41,18,2922,24.88145728643216,2001-12-20T11:14:13Z,2020-11-30T11:16:47Z,6920.0017824074075,VIP
12438,2906.85,2,1180,29.661734693877552,2020-07-22T11:13:29Z,2020-11-25T11:13:28Z,125.99998842592592,High Value
12441,173.55,1,121,15.77727272727273,2012-08-20T10:10:45Z,2012-08-20T10:10:45Z,0,Low Value
12442,172.06,1,182,14.338333333333333,2012-06-20T11:14:22Z,2012-06-20T11:14:22Z,0,Low Value
12444,5005.46,5,1153,28.440113636363638,2008-10-20T11:08:41Z,2020-11-18T11:13:23Z,4412.003263888889,VIP
